iter	Accuracy	MultiClass
0	0.9593312442	0.9276127076
1	0.9620935751	0.8002056962
2	0.9609397359	0.700147953
3	0.9621497274	0.6188560117
4	0.9616425453	0.5519538231
5	0.9616425453	0.4961671561
6	0.9616425453	0.4486299787
7	0.9621497274	0.4078697288
8	0.9621497274	0.3732193567
9	0.9621497274	0.3426804515
10	0.9621497274	0.3162090482
11	0.9620935751	0.2931851409
12	0.9620935751	0.2727222202
13	0.9620935751	0.2547736375
14	0.9620935751	0.2390666633
15	0.9620935751	0.2248384268
16	0.9621008205	0.2126847912
17	0.9621841433	0.2014139288
18	0.9621406706	0.1918388476
19	0.9622040683	0.1832994469
20	0.9621497274	0.1756695284
21	0.9622457297	0.1690307833
22	0.9624739616	0.1618222762
23	0.9623996957	0.156241719
24	0.9624975094	0.1512032386
25	0.9629412937	0.1465674873
26	0.9630191824	0.1421347569
27	0.9630209937	0.1381272208
28	0.9630246164	0.1347400543
29	0.9630354846	0.1312393627
30	0.9627873277	0.1281506475
31	0.9629286141	0.1254611946
32	0.9630228051	0.12311932
33	0.9630300505	0.1211525158
34	0.9632872643	0.1194104138
35	0.9634213053	0.1174359966
36	0.9634267394	0.1157778602
37	0.9635553462	0.1145569471
38	0.9637310486	0.1133303272
39	0.963792635	0.1120624612
40	0.9638143714	0.1108773453
41	0.9643487239	0.109957976
42	0.9644411035	0.1089873208
43	0.9645099353	0.1081550326
44	0.9645407285	0.1075168953
45	0.964587824	0.1066303711
46	0.9647272991	0.106224822
47	0.9649301719	0.1053927389
48	0.9649700219	0.1047145529
49	0.9649645878	0.1040249892
50	0.9650008151	0.1034755537
51	0.9650026265	0.1027416935
52	0.9650098719	0.1023518722
53	0.9650388538	0.1019341767
54	0.9650931947	0.101556451
55	0.9652507834	0.1012440151
56	0.965303313	0.1007847681
57	0.9652688971	0.1002448595
58	0.9653938812	0.1000781824
59	0.9654138062	0.09981076794
60	0.9654554676	0.09927889832
61	0.9654554676	0.09893931072
62	0.9654790153	0.09869721529
63	0.9655025631	0.09850047675
64	0.9654953176	0.09820928095
65	0.9655333563	0.0980386061
66	0.9655659608	0.0976691367
67	0.9656203018	0.09747665496
68	0.9656039995	0.09727147313
69	0.9656673973	0.09709117033
70	0.9656637745	0.09697678432
71	0.9656836995	0.09687218507
72	0.9657126814	0.09667947832
73	0.9657344177	0.09656616749
74	0.9657416632	0.09642459193
75	0.9657633996	0.09626471828
76	0.9658883837	0.09603414695
77	0.965904686	0.09594680232
78	0.9659391019	0.09589237451
79	0.9658213632	0.09578496552
80	0.9659517815	0.0956893082
81	0.9659898201	0.0955027061
82	0.9660169906	0.09535352552
83	0.9660332929	0.09530692723
84	0.9660550293	0.09524573615
85	0.966058652	0.09518552779
86	0.9660532179	0.09508013199
87	0.9660821997	0.09493145159
88	0.9660876338	0.09487219457
89	0.9661003134	0.09480046532
90	0.9661148043	0.09463261239
91	0.9661274838	0.09455662488
92	0.9661129929	0.09453621682
