iter	Passed	Remaining
0	35	17788
1	62	15676
2	90	14984
3	118	14725
4	148	14726
5	180	14880
6	211	14929
7	243	14980
8	275	15045
9	311	15257
10	347	15459
11	385	15671
12	425	15921
13	462	16049
14	501	16210
15	542	16406
16	580	16497
17	621	16635
18	659	16704
19	700	16813
20	740	16894
21	781	16979
22	826	17144
23	873	17315
24	915	17402
25	959	17497
26	1008	17668
27	1055	17787
28	1099	17851
29	1145	17944
30	1190	18009
31	1237	18105
32	1284	18181
33	1327	18192
34	1366	18150
35	1412	18199
36	1456	18231
37	1498	18220
38	1536	18167
39	1581	18185
40	1625	18196
41	1669	18209
42	1721	18294
43	1772	18368
44	1810	18306
45	1861	18373
46	1904	18353
47	1950	18367
48	1991	18325
49	2033	18302
50	2071	18233
51	2111	18189
52	2147	18111
53	2186	18060
54	2228	18027
55	2268	17982
56	2306	17926
57	2351	17923
58	2387	17844
59	2427	17802
60	2471	17788
61	2511	17742
62	2549	17685
63	2587	17624
64	2624	17567
65	2662	17507
66	2701	17459
67	2741	17415
68	2783	17385
69	2824	17349
70	2862	17295
71	2896	17218
72	2930	17139
73	2967	17084
74	3001	17010
75	3038	16951
76	3079	16917
77	3119	16874
78	3155	16815
79	3191	16754
80	3232	16723
81	3269	16665
82	3312	16641
83	3348	16585
84	3383	16517
85	3416	16448
86	3452	16390
87	3491	16348
88	3526	16286
89	3563	16233
90	3598	16175
91	3632	16109
92	3664	16036
93	3703	15997
94	3741	15949
95	3778	15901
96	3817	15859
97	3856	15819
98	3891	15764
99	3930	15721
100	3968	15676
101	4006	15634
102	4045	15591
103	4081	15542
104	4121	15505
105	4153	15437
106	4186	15377
107	4227	15344
108	4262	15292
109	4297	15236
110	4336	15196
111	4369	15138
112	4404	15082
113	4438	15029
114	4473	14974
115	4514	14943
116	4547	14885
117	4584	14842
118	4615	14776
119	4652	14732
120	4684	14674
121	4718	14620
122	4752	14567
123	4790	14525
124	4825	14476
125	4856	14416
126	4895	14379
127	4931	14331
128	4969	14290
129	5001	14234
130	5037	14190
131	5073	14143
132	5109	14100
133	5145	14053
134	5180	14006
135	5216	13961
136	5255	13924
137	5289	13874
138	5327	13836
139	5367	13802
140	5409	13772
141	5444	13726
142	5481	13684
143	5516	13639
144	5552	13594
145	5591	13558
146	5624	13506
147	5659	13460
148	5688	13400
149	5727	13365
150	5766	13327
151	5797	13272
152	5838	13241
153	5874	13198
154	5909	13152
155	5942	13103
156	5975	13053
157	6008	13004
158	6040	12953
159	6078	12916
160	6109	12864
161	6143	12818
162	6181	12780
163	6217	12737
164	6255	12700
165	6292	12661
166	6332	12627
167	6372	12592
168	6412	12558
169	6451	12523
170	6487	12482
171	6525	12444
172	6560	12401
173	6602	12369
174	6636	12324
175	6668	12275
176	6703	12232
177	6741	12195
178	6777	12154
179	6819	12122
180	6856	12084
181	6897	12052
182	6937	12017
183	6972	11974
184	7006	11929
185	7038	11882
186	7070	11834
187	7107	11795
188	7145	11758
189	7180	11714
190	7220	11681
191	7251	11632
192	7288	11594
193	7322	11549
194	7356	11505
195	7389	11461
196	7426	11421
197	7461	11380
198	7502	11348
199	7538	11307
200	7577	11272
201	7615	11235
202	7656	11201
203	7692	11162
204	7731	11126
205	7766	11084
206	7801	11043
207	7834	10997
208	7869	10957
209	7905	10916
210	7938	10873
211	7971	10829
212	8003	10784
213	8037	10741
214	8070	10698
215	8103	10655
216	8135	10609
217	8172	10571
218	8212	10537
219	8249	10499
220	8284	10459
221	8329	10430
222	8368	10394
223	8400	10350
224	8436	10311
225	8469	10268
226	8504	10227
227	8541	10190
228	8578	10151
229	8612	10110
230	8650	10073
231	8686	10034
232	8722	9995
233	8760	9958
234	8794	9917
235	8825	9873
236	8857	9829
237	8893	9789
238	8927	9749
239	8965	9712
240	8997	9669
241	9033	9631
242	9063	9585
243	9098	9545
244	9132	9504
245	9164	9462
246	9201	9424
247	9234	9383
248	9271	9345
249	9304	9304
250	9337	9262
251	9369	9220
252	9403	9180
253	9441	9144
254	9482	9110
255	9516	9069
256	9552	9031
257	9622	9026
258	9657	8986
259	9691	8945
260	9727	8907
261	9766	8871
262	9798	8829
263	9833	8790
264	9866	8749
265	9904	8713
266	9937	8672
267	9972	8632
268	10003	8589
269	10037	8550
270	10071	8510
271	10104	8470
272	10140	8431
273	10178	8395
274	10214	8357
275	10251	8320
276	10287	8281
277	10327	8247
278	10361	8207
279	10400	8171
280	10436	8133
281	10473	8096
282	10509	8058
283	10543	8018
284	10578	7980
285	10614	7942
286	10648	7902
287	10684	7865
288	10721	7827
289	10754	7787
290	10791	7750
291	10825	7711
292	10862	7674
293	10897	7635
294	10937	7600
295	10974	7563
296	11010	7525
297	11054	7493
298	11090	7455
299	11127	7418
300	11166	7382
301	11201	7344
302	11236	7305
303	11271	7267
304	11306	7228
305	11342	7190
306	11379	7153
307	11414	7115
308	11447	7075
309	11480	7036
310	11516	6998
311	11555	6962
312	11586	6922
313	11623	6885
314	11660	6848
315	11695	6809
316	11729	6771
317	11764	6732
318	11797	6694
319	11833	6656
320	11875	6622
321	11908	6583
322	11943	6545
323	11979	6507
324	12013	6469
325	12050	6432
326	12099	6401
327	12146	6369
328	12184	6332
329	12219	6294
330	12254	6256
331	12292	6220
332	12324	6180
333	12358	6142
334	12392	6103
335	12430	6067
336	12461	6027
337	12495	5988
338	12531	5951
339	12565	5913
340	12596	5873
341	12630	5835
342	12663	5796
343	12702	5760
344	12734	5721
345	12768	5683
346	12804	5645
347	12841	5608
348	12876	5571
349	12910	5533
350	12945	5495
351	12975	5455
352	13009	5417
353	13048	5381
354	13080	5342
355	13117	5305
356	13149	5267
357	13187	5230
358	13217	5191
359	13253	5154
360	13293	5118
361	13330	5081
362	13366	5044
363	13404	5008
364	13442	4971
365	13480	4935
366	13520	4899
367	13554	4862
368	13588	4824
369	13621	4785
370	13660	4749
371	13698	4713
372	13732	4675
373	13767	4638
374	13807	4602
375	13841	4564
376	13875	4527
377	13913	4490
378	13952	4454
379	13989	4417
380	14026	4381
381	14064	4344
382	14100	4307
383	14137	4270
384	14172	4233
385	14205	4195
386	14240	4158
387	14276	4121
388	14313	4084
389	14346	4046
390	14385	4010
391	14420	3972
392	14455	3935
393	14487	3897
394	14523	3860
395	14555	3822
396	14591	3785
397	14629	3749
398	14663	3711
399	14695	3673
400	14728	3636
401	14765	3599
402	14798	3561
403	14834	3525
404	14871	3488
405	14908	3451
406	14943	3414
407	14978	3377
408	15011	3339
409	15041	3301
410	15080	3265
411	15111	3227
412	15146	3190
413	15184	3154
414	15222	3117
415	15257	3080
416	15291	3043
417	15326	3006
418	15364	2970
419	15403	2933
420	15437	2896
421	15470	2859
422	15500	2821
423	15538	2785
424	15572	2748
425	15607	2711
426	15642	2674
427	15675	2637
428	15707	2599
429	15743	2562
430	15777	2525
431	15812	2489
432	15849	2452
433	15884	2415
434	15919	2378
435	15955	2342
436	15997	2306
437	16034	2269
438	16069	2232
439	16105	2196
440	16138	2159
441	16174	2122
442	16210	2085
443	16247	2049
444	16282	2012
445	16317	1975
446	16351	1938
447	16387	1902
448	16425	1865
449	16457	1828
450	16494	1792
451	16529	1755
452	16562	1718
453	16600	1682
454	16635	1645
455	16668	1608
456	16702	1571
457	16742	1535
458	16778	1498
459	16811	1461
460	16847	1425
461	16882	1388
462	16917	1351
463	16949	1315
464	16984	1278
465	17017	1241
466	17052	1204
467	17087	1168
468	17118	1131
469	17150	1094
470	17183	1058
471	17217	1021
472	17253	984
473	17288	948
474	17322	911
475	17356	875
476	17391	838
477	17425	802
478	17464	765
479	17496	729
480	17531	692
481	17566	656
482	17600	619
483	17635	582
484	17672	546
485	17708	510
486	17741	473
487	17782	437
488	17816	400
489	17852	364
490	17885	327
491	17917	291
492	17952	254
493	17987	218
494	18028	182
495	18064	145
496	18098	109
497	18133	72
498	18165	36
499	18200	0
